Module,Score,Price ($),Price Efficiency (Score/$),URL
Apacer Technology GD2.1827CS.00D 8GB,20138,,,
Crucial Technology BL16G32C16U4B.M16FE 16GB,20138,,,
G Skill Intl F4-3000C16-8GSXKB 8GB,20126,,,
Kingston KF3000C16D4/32GX 32GB,20126,,,
Silicon Power Computer & Communications 8GB,20112,,,
Corsair CMN64GX4M4Z3600C18 16GB,20110,,,
Lexar Co Limited LD4AU032G-H3200GST 32GB,20106,,,
GIGA - BYTE Technology Co Ltd AR36C18S8K2HU416R 8GB,20105,,,
Asgard VAM4UX32C18AG-CVALW 16GB,20102,,,
Mushkin MLA4C400JNNM16G 16GB,20097,,,
Gloway International Co. Ltd. TAC4U3200E18162C 16GB,20097,,,
Crucial Technology BLE8G4D30AEEA.K16FE 8GB,20095,,,
Ramaxel Technology RMSA3310ME96HAF-3200 8GB,20088,,,
Kingston ACR32D4U2S1MF-8 8GB,20085,,,
G Skill Intl F4-3200C16-16GIS 16GB,20084,,,
Kingston KF4266C19D4/16GX 16MB,20083,,,
Crucial Technology BL16G30C15U4R.16FE 16GB,20082,,,
Asgard VMA45UH-MEC1U2AV5 16GB,20079,,,
Crucial Technology CT16G4DFRA32A.C8FF 16GB,20068,,,
G Skill Intl F4-3200C16-32GTZR 32GB,20063,,,
Crucial Technology BL8G32C16U4B.8FE 8GB,20063,,,
Chun Well Technology Holding Limited ND4U0836182BRLDE 8GB,20062,,,
A-DATA Technology AX4U360016G18I-ST60 16GB,20062,,,
Micron Technology 8ATF2G64AZ-3G2F1 16GB,20060,,,
Crucial Technology BL16G32C16U4W.M8FB1 16GB,20060,,,
Kingston ACR32D4U2S1ME-8X 8GB,20060,,,
G Skill Intl F4-3866C18-8GTZKW 8GB,20058,,,
Cuso JH4U3200E18082C 8GB,20056,,,
SK Hynix HMAA2GU6AJR8N-XN 16GB,20050,,,
Crucial Technology BL32G32C16U4B.M16FB1 32GB,20049,,,
Kingston X7R32C-MIE-NX 16GB,20049,,,
Corsair CM4X8GD4000Z18K2 8GB,20044,,,
Team Group Inc. TEAMGROUP-D4-3733 8GB,20043,,,
Corsair CMT32GX4M2C3600C18 16GB,20038,,,
G Skill Intl F4-4000C16-16GTZN 16GB,20038,,,
Kingston LV32D4U2S8HD-8X 8GB,20035,,,
Crucial Technology BL16G32C16U4RL.M16FE 16GB,20034,,,
Gloway International Co. Ltd. TYP4U3200E16082C 8GB,20031,,,
A-DATA Technology AX4U320038G16A-BB10 8GB,20030,,,
Asgard VMA45UH-MEC1U2AW2 16GB,20030,,,
Corsair CMK16GX4M2K4266C19 8GB,20027,,,
Corsair CM4X16GC3200C16K2E 16GB,20025,,,
Corsair CMW64GX4M2K4000C18 32GB,20024,,,
Hyundai Inc AR36C18S8K2HU416R 8GB,20023,,,
Crucial Technology BL32G32C16U4BL.M16FB 32GB,20022,,,
AMD R9S48G3606U2S 8GB,20020,,,
InnoDisk Corporation M4SE-8GS1NC0M-C-E53T 8GB,20019,,,
Ramaxel Technology RMUA5190MF96HAF-3200 8GB,20014,,,
A-DATA Technology AO2P32NC8T1-BA5S 8GB,20013,,,
Corsair CMK32GX4M2E3200C16 16GB,20013,,,
G Skill Intl F4-4600C20-32GTRS 32GB,20008,,,
Crucial Technology BLS16G4D32AESE.M16FE 16GB,20001,,,
Crucial Technology BLT8G4D30BET4K.C8FD 8GB,19997,,,
Kingston K9CXF2-MIF 8GB,19996,,,
Kingston 9905734-424.A00G 16GB,19996,,,
Corsair CMH32GX4M4E3200C16 8GB,19996,,,
Samsung K4AAG165WA-BCWE 8GB,19994,,,
G Skill Intl F4-3600C18-16GTZRM 16GB,19993,,,
Kingston KF3200C20S4/16GX 16GB,19992,,,
G Skill Intl F4-4600C19-16GVK 16GB,19991,,,
Kingston 9965684-032.A00G 16GB,19984,,,
Crucial Technology CT16G4DFS832A.C8FE 16GB,19982,,,
Corsair CMU16GX4M2C3000C16 8GB,19974,,,
AMD R948G3206U2S-U 8GB,19973,,,
G Skill Intl F4-3200C16-16GTZN 16GB,19971,,,
Crucial Technology CT8G4DFRA32A.M4FF 8GB,19969,,,
GIGA - BYTE Technology Co Ltd GP-DSG64G32 32GB,19967,,,
Corsair CMH32GX4M2C3200C18 16GB,19966,,,
Crucial Technology CT8G4SFRA32A.C8FN 8GB,19964,,,
A-DATA Technology DDR4 3600 2OZ 8GB,19964,,,
Kingston 9905744-104.A00G 16GB,19961,,,
Asgard VMA45UG-MEC1U2AV5 8GB,19957,,,
Crucial Technology CT16G4DFRA32A.C16FP 16GB,19957,,,
G Skill Intl F4-3200C16-8GTZRN 8GB,19957,,,
Mushkin MR[ABC]4U320GJJM8G 8GB,19955,,,
A-DATA Technology AX4U32008G16A-BT41 8GB,19953,,,
Crucial Technology CT8G4DFRA266.M4FF 8GB,19949,,,
Team Group Inc. TEAMGROUP-UD4-4500 8GB,19943,,,
Gold Key Technology Co Ltd NMUD416E86-3200D 16GB,19939,,,
Apacer Technology D23.27562S.007 8GB,19936,,,
UMAX Technology D4-3200-16G-2048X8-L 16GB,19935,,,
A-DATA Technology AO2P32NCSV1-BEVS 16GB,19932,,,
Mushkin MRX4U320EJJP8G 8GB,19927,,,
Corsair CMD16GX4M2K4133C19 8GB,19927,,,
G Skill Intl F4-3733C17-4GTZ 4GB,19923,,,
Micron Technology 18ASF2G72AZ-2G3B1 16GB,19922,,,
Samsung 8G3200CL16 8GB,19919,,,
Crucial Technology BL8G30C15U4B.8FE 8GB,19916,,,
Corsair CMK16GX4M2D3600C18 8GB,19914,,,
Kingston HP32D4U2S1ME-8 8GB,19913,,,
Avant Technology W642GU44J2320NC 16GB,19911,,,
G Skill Intl F4-4266C19-16GTES 16GB,19909,,,
Crucial Technology CT8G4DFRA32A.C8FR 8GB,19909,,,
G Skill Intl F4-3200C16-16GTZRX 16GB,19908,,,
G Skill Intl F4-4400C18-8GTRG 8GB,19901,,,
G Skill Intl F4-4000C19-16GTZSW 16GB,19899,,,
Corsair CMR64GX4M4K3600C18 16GB,19894,,,
Samsung LO8G2666CL19 8GB,19891,,,
Kingston KHX4000C19D4/8GX 8GB,19889,,,
Essencore Limited KD48GU880-36A180C 8GB,19888,,,
G Skill Intl F4-3600C18-8GTZN 8GB,19884,,,
Essencore Limited KD4AGSA80-32N2200 16GB,19877,,,
Patriot Memory (PDP Systems) 3600 C17 Series 4GB,19869,,,
G Skill Intl F4-3200C16-8GRKB 8GB,19869,,,
Golden Empire CL16-20-20 D4-3200 16GB,19868,,,
G Skill Intl F4-3200C16-8GTZKW 8GB,19867,,,
G Skill Intl F4-3600C18-8GVK 8GB,19866,,,
Crucial Technology CT16G4DFD832A.C8FD1 16GB,19860,,,
Colorful Technology Ltd CD16G3200D4NP18 16GB,19859,,,
Neo Forza NMUD416E82-3600 16GB,19858,,,
Corsair CMK16GX4M1D3600C18 16GB,19850,,,
Corsair CMR16GX4M2C3466C16 8GB,19846,,,
G Skill Intl F4-4400C19-8GTZSW 8GB,19843,,,
Corsair CMK32GX4M4B3733C17 8GB,19840,,,
Kingston 9905734-063.A00G 32GB,19838,,,
Kingston 9905734-102.A00G 32GB,19832,,,
Corsair CMW16GX4M2K3600C16 8GB,19829,,,
Corsair CMK16GX4M2E3200C16 8GB,19828,,,
Corsair CMW16GX4M2Z3600C18 8GB,19822,,,
G Skill Intl F4-4000C17-8GTZRB 8GB,19817,,,
Mushkin MLA4C320GJJM16G 16GB,19812,,,
Crucial Technology CT16G4SFRA32A.M8FB 16GB,19802,,,
Crucial Technology CT8G4DFRA32A.M4FE 8GB,19799,,,
G Skill Intl F4-4000C19-8GTZKW 8GB,19797,,,
Corsair CM4X16GC3000C16K8 16GB,19792,,,
Crucial Technology BL8G32C16U4R.8FE 8GB,19791,,,
Corsair CMK16GX4M2B3200C14 8GB,19790,,,
Corsair CMK16GX4M4B3600C18 4GB,19781,,,
G Skill Intl F4-2933C14-16GFX 16GB,19780,,,
G Skill Intl F4-3400C16-16GTZ 16GB,19779,,,
Patriot Memory (PDP Systems) 3600 C16 Series 8GB,19775,,,
Hewlett-Packard 8MG02AA# 8GB,19773,,,
Gold Key Technology Co Ltd NMUD480E86-3200D 8GB,19773,,,
Kingston HX432C16FB3/16 16GB,19770,,,
Crucial Technology CT8G4DFRA32A.C8FN 8GB,19769,,,
JUHOR JHD3200U1832JG 32GB,19765,,,
Micron Technology 4ATF1G64HZ-3G2B2 8GB,19764,,,
Crucial Technology BLS16G4D30AESC.M16FE 16GB,19762,,,
G Skill Intl F4-4266C19-8GTRG 8GB,19756,,,
Patriot Memory (PDP Systems) PSD416G32002 16GB,19750,,,
G Skill Intl F4-4400C19-8GTZKK 8GB,19749,,,
Gold Key Technology Co Ltd GKE800UD102408-2666A 8GB,19747,,,
G Skill Intl F4-4133C19-8GTZR 8GB,19743,,,
Chun Well Technology Holding Limited D4U0832182B 8GB,19741,,,
Corsair CMD8GX4M2B3333C16 4GB,19741,,,
G Skill Intl F4-3600C18-8GTZRX 8GB,19735,,,
Apacer Technology GD2.1827CN.001 8GB,19734,,,
Galaxy Microsystems Ltd. GALAX OC LAB 8GB,19734,,,
Thermaltake Technology Co Ltd R009D408GX2-3600C18B 8GB,19733,,,
G Skill Intl F4-3600C17-4GTZ 4GB,19733,,,
Thermaltake Technology Co Ltd R022D408GX2-3200C16A 8GB,19732,,,
Essencore Limited KD4AGUA8A-32N2200 16GB,19731,,,
Kingston KHX3200C18D4/16G 16GB,19730,,,
Team Group Inc. TEAMGROUP-UD4-3200 8GB,19724,,,
G Skill Intl F4-4266C19-8GTZA 8GB,19722,,,
A-DATA Technology AX4U320016G16A-ST50 16GB,19713,,,
Corsair CMK32GX4M2F4000C19 16GB,19713,,,
G Skill Intl F4-3600C19-8GTZRB 8GB,19713,,,
G Skill Intl F4-4800C18-8GTRG 8GB,19711,,,
Corsair CMK32GX4M2C3333C16 16GB,19708,,,
Ramaxel Technology RMUA5200ME78HAF-3200 8GB,19707,,,
Kingston XW21KG-HYD-NX 8GB,19706,,,
Samsung M474A4G43MB1-CTD 32GB,19703,,,
Thermaltake Technology Co Ltd R017D408GX2-3600C18A 8GB,19702,,,
Ramaxel Technology RMSA3310MF96HAF-3200 8GB,19702,,,
AMD R9S416G3206U2S 16GB,19697,,,
G Skill Intl F4-3200C16-8GTZSW 8GB,19696,,,
G Skill Intl F4-3200C14-8GTRS 8GB,19695,,,
G Skill Intl F4-3333C16-16GTZB 16GB,19692,,,
Corsair CMK64GX4M4E3200C16 16GB,19690,,,
"Tammuz Co., Ltd. TZD2G816U32-SK001 16GB",19687,,,
SK Hynix HMAA2GS6MJR8N-XN 16GB,19685,,,
Corsair CMR64GX4M4C3333C16 16GB,19682,,,
Corsair CMG16GX4M1E3200C16 16GB,19681,,,
G Skill Intl F4-3200C16-16GRS 16GB,19681,,,
Corsair CMT16GX4M2Z3200C16 8GB,19677,,,
G Skill Intl F4-3200C14-8GTZRX 8GB,19669,,,
SK Hynix HMA81GU6DJR8N-XN 8GB,19668,,,
G Skill Intl F4-4133C19-8GTZSWC 8GB,19668,,,
Crucial Technology BLS16G4D30AESB.M16FE 16GB,19665,,,
Kingston LV32D4U2S8ME-16X 16GB,19656,,,
Crucial Technology BLM8G40C18U4BL.M8FE1 8GB,19656,,,
Micron Technology DDR4 8GB 3200MHz 8GB,19655,,,
Corsair CMSX8GX4M1A3200C22 8GB,19654,,,
Netac Technology Co Ltd 8GB,19648,,,
Corsair CMW16GX4M2C3600C18 8GB,19642,,,
Apacer Technology GD2.1827CS.003 8GB,19641,,,
Ramaxel Technology RMUA5200MF88HBF-3200 16GB,19640,,,
Nanya Technology NT8GA64D88CX3F-JR 8GB,19632,,,
G Skill Intl F4-4000C19-16GTRG 16GB,19629,,,
G Skill Intl F4-3200C16-8GTZ 8GB,19628,,,
SK Hynix HMAA2GU6CJR8N-XN 16GB,19627,,,
G Skill Intl F4-4266C17-8GTZR 8GB,19619,,,
V-Color Technology Inc. TL8G36818D-E6PRWWK 8GB,19617,,,
Crucial Technology BL8G32C16U4BL.M8FE 8GB,19617,,,
Crucial Technology CP16G4DFRA32A.C8FF 16GB,19617,,,
Crucial Technology BL16G32C16U4RL.M8FB1 16GB,19616,,,
Crucial Technology BL16G32C16U4B.M8FB1 16GB,19616,,,
Kingston 99U5734-056.A00G 32GB,19608,,,
A-DATA Technology AX4U32008G16A-DW10 8GB,19605,,,
Micron Technology 8ATF2G64AZ-3G2B1 16GB,19604,,,
Panram International Corporation W4U3200PS-16G 16GB,19603,,,
Gold Key Technology Co Ltd NMUD416F82-3200D 16GB,19600,,,
Crucial Technology CT8G4DFS632A.M4FB 8GB,19600,,,
Crucial Technology BL16G32C16U4BL.M8FB1 16GB,19598,,,
A-DATA Technology AX4U320016G16A-DW50 16GB,19598,,,
Apacer Technology GD2.1842CS.007 8GB,19597,,,
Apacer Technology GD2.1142CH.002 8GB,19579,,,
Chun Well Technology Holding Limited CL18-20-20 D4-3200 16GB,19578,,,
Corsair CMK16GX4M2F4400C19 8GB,19576,,,
Corsair CM4X8GD3200C16K4 8GB,19575,,,
Crucial Technology BL32G32C16U4WL.M16FB 32GB,19575,,,
Crucial Technology BLS8G4D240FSB.M16FBD 8GB,19575,,,
V-Color Technology Inc. TD416G32S822 16GB,19574,,,
Gold Key Technology Co Ltd NMUD416E82-3200D 16GB,19561,,,
Corsair CMW32GX4M2E3200C16 16GB,19558,,,
Gold Key Technology Co Ltd NMUD480E82-3000D 8GB,19557,,,
"Tammuz Co., Ltd. TZD1G808U26-SK001 16GB",19556,,,
OCPC MMX8GD432C16U 8GB,19553,,,
Kingston K9CXF2-HYC 8GB,19552,,,
Thermaltake Technology Co Ltd R016D408GX2-3600C18A 8GB,19550,,,
Silicon Power Computer & Communications SP008GXLZU360BSB 8GB,19549,,,
Crucial Technology BLT16G4D30BET4.C16FD 16GB,19549,,,
Crucial Technology CT8G4DFS832A.M8FR 8GB,19548,,,
Essencore Limited KD48GU880-32A160T 8GB,19544,,,
Corsair CM4X16GD3000C16K4D 16GB,19541,,,
Corsair CM4X8GC3000C15K4 8GB,19536,,,
Corsair CMK64GX4M2Z4000C18 32GB,19532,,,
"PNY Technologies, Inc. 16GF2X08RHJJ42-135-K 16GB",19530,,,
Corsair CMD16GX4M2B3866C18 8GB,19529,,,
Corsair CMD8GX4M2B3200C16 4GB,19524,,,
Thermaltake Technology Co Ltd RA24D408GX2-4000C19A 8GB,19523,,,
Crucial Technology BLT8G4D30AETA.K16FD 8GB,19520,,,
Chun Well Technology Holding Limited D4U1632162B 16GB,19520,,,
G Skill Intl F4-4133C19-8GTZKW 8GB,19515,,,
Corsair CMW64GX4M4E3200C16 16GB,19507,,,
A-DATA Technology AO2P32NCST2-B7CS 16GB,19505,,,
G Skill Intl F4-4400C19-32GTRS 32GB,19505,,,
G Skill Intl F4-3600C18-8GTRS 8GB,19502,,,
G Skill Intl F4-3200C16-16GVKA 16GB,19500,,,
Gold Key Technology Co Ltd NMUD480E82-3200D 8GB,19500,,,
Kingston KHX3733C19D4/8GX 8GB,19498,,,
Kimtigo Semiconductor (HK) Limited KTB900D4S8-8GB 8GB,19498,,,
Antec Memory DDR4-3600 8GB C18 8GB,19498,,,
Corsair CMK64GX4M2C3200C18 32GB,19498,,,
Silicon Power Computer & Communications SP016GXLZU320BSA 16GB,19497,,,
Crucial Technology BL16G32C16U4BL.8FB 16GB,19496,,,
Crucial Technology BL8G32C16U4RL.M8FE 8GB,19495,,,
Cuso YX4U3200E18082C 8GB,19493,,,
G Skill Intl F4-3200C16-32GVK 32GB,19492,,,
Crucial Technology BLT4G4D30AETA.K8FD 4GB,19491,,,
G Skill Intl F4-3400C16-8GTZ 8GB,19491,,,
Patriot Memory (PDP Systems) 3200 C18 Series 8GB,19490,,,
Corsair CMD64GX4M4B3000C15 16GB,19490,,,
Thermaltake Technology Co Ltd R019D408GX1-3200C16S 8GB,19488,,,
Team Group Inc. TEAMGROUP-UD4-3866 8GB,19484,,,
G Skill Intl F4-3466C16-8GVK 8GB,19483,,,
G Skill Intl F4-2933C16-8GFX 8GB,19483,,,
Asgard VMA45UG-MEC1U2AW2 8GB,19482,,,
Essencore Limited KD4AGUA80-40B190Z 16GB,19482,,,
Thermaltake Technology Co Ltd R017D408GX2-4400C19A 8GB,19481,,,
Kingston KHX4266C19D4/8GX 8GB,19480,,,
Terabyte Co Ltd RCX2-16G3000R 8GB,19480,,,
Kingmax Semiconductor GLOH23F-18---------- 16GB,19471,,,
Shanghai Kuxin Microelectronics Ltd NMUD480E86-3200 8GB,19466,,,
Micron Technology 4ATF1G64AZ-3G2B1 8GB,19465,,,
A-DATA Technology AX4U320016G16A-BWHD3 16GB,19462,,,
Apacer Technology GD2.1527CS.001 8GB,19461,,,
G Skill Intl F4-4000C18-8GTRG 8GB,19458,,,
G Skill Intl F4-3200C16-8GSX 8GB,19458,,,
Essencore Limited KD4BGUA8C-32N220A 32GB,19455,,,
Corsair CMK64GX4M2E3200C16 32GB,19454,,,
Corsair CMT64GX4M4C3466C16 16GB,19453,,,
Wilk Elektronik S.A. IRP3600D4V64L17S/8G 8GB,19451,,,
Kingston 9905702-400.A00G 8GB,19451,,,
Kingston 9905743-220.A00G 16GB,19450,,,
G Skill Intl F4-3600C17-8GTZR 8GB,19449,,,
A-DATA Technology AX4U320016G16A-DTBKD 16GB,19446,,,
Panram International Corporation W4U2666PS-16GC19 16GB,19445,,,
Essencore Limited KD4BGSA80-32N2200 32GB,19445,,,
Corsair CMT32GX4M4C3200C16 8GB,19444,,,
G Skill Intl F4-4266C19-8GTRS 8GB,19441,,,
Kingston 99U5702-128.A00G 8GB,19439,,,
Silicon Power Computer & Communications SP016GBLFU320F02 16GB,19432,,,
A-DATA Technology AX4U32008G16A-DT60 8GB,19431,,,
G Skill Intl F4-3200C16-16GTRS 16GB,19429,,,
Asgard VAM4UX32C188G-SFRES 8GB,19428,,,
Corsair CMW128GX4M4D3600C18 32GB,19428,,,
G Skill Intl F4-3600C14-8GTRGB 8GB,19423,,,
Hyundai Inc AR32C16S8K2SU416R 8GB,19423,,,
Ramaxel Technology RMSA3320MR78HAF-3200 8GB,19423,,,
Samsung M391A2K43BB1-CTD 16GB,19422,,,
Essencore Limited IM48GU88A30-FGGHMZ 8GB,19419,,,
Essencore Limited KD4AGU880-32N220A 16GB,19416,,,
Corsair CMK32GX4M4B4000C19 8GB,19415,,,
A-DATA Technology DDR4 3200 8GB,19415,,,
G Skill Intl F4-3200C16-16GVS 16GB,19415,,,
Crucial Technology BL8G32C16U4WL.M8FE 8GB,19414,,,
Corsair CMD16GX4M4B3333C16 4GB,19410,,,
Corsair CM4X4GD3000C16K2 4GB,19408,,,
A-DATA Technology AX4U36008G18I-BBKD35 8GB,19407,,,
Essencore Limited KD4AGSA8A-32N2200 16GB,19407,,,
Chun Well Technology Holding Limited D4U0832160B 8GB,19403,,,
Corsair CMWX8GD3200C16W2E 8GB,19396,,,
G Skill Intl F4-3200C15-8GTZKY 8GB,19396,,,
Crucial Technology CT16G4SFS832A.C8FB 16GB,19395,,,
Corsair CMWX8GF2933Z16W4 8GB,19389,,,
Crucial Technology BLS16G4D32AESB.M16FE 16GB,19379,,,
Corsair CMK64GX4M2C3000C15 32GB,19377,,,
Kingston HP32D4S2S1MF-8 8GB,19375,,,
Kingston 99U5702-114.A00G 8GB,19374,,,
Kingston 9905734-404.A00G 16GB,19366,,,
Micron Technology 8ATF2G64AZ-3G2E1 16GB,19366,,,
Micron Technology 18ASF4G72AZ-3G2B1 32GB,19364,,,
OM Nanotech Pvt.Ltd V01D4L88GB1G81G82666 8GB,19362,,,
Chun Well Technology Holding Limited MD4U1632161DCW 16GB,19361,,,
Mushkin MLX4C320EJJP16G 16GB,19356,,,
G Skill Intl F4-3200C16-16GVK 16GB,19353,,,
Apacer Technology GD2.1127CC.003 8GB,19349,,,
G Skill Intl F4-3200C16-16GTZR 16GB,19345,,,
SK Hynix HMA82GS6CJR8N-XN 16GB,19344,,,
Kingston KHX3466C17D4/16GX 16GB,19338,,,
Shenzhen Fanxiang Information Technology UD1108G36D 8GB,19334,,,
Crucial Technology BLE16G4D30AEEA.K16FB 16GB,19333,,,
Crucial Technology CT8G4DFRA32A.M4FEA 8GB,19332,,,
JUHOR JHD3200U1808JG 8GB,19332,,,
Mushkin MR[A/B]4U300JJJM8G 8GB,19329,,,
Hewlett-Packard 7EH82AA# 8GB,19329,,,
Essencore Limited KD4AGU880-36A180T 16GB,19325,,,
G Skill Intl F4-3600C19-16GVRB 16GB,19321,,,
Crucial Technology CT8G4DFRA32A.M8FE 8GB,19317,,,
Corsair CMK32GX4M2Z3200C16 16GB,19311,,,
G Skill Intl F4-3733C17-16GTZR 16GB,19309,,,
Ramsta Ramsta-3200MHz-8G 8GB,19307,,,
G Skill Intl F4-3466C16-8GTZSK 8GB,19306,,,
Essencore Limited KD48GU880-36A180B 8GB,19306,,,
A-DATA Technology AX4U32008G16A-ST50 8GB,19305,,,
Corsair CMK8GX4M1D3600C18 8GB,19303,,,
Mushkin MRX4U300GJJM16G 16GB,19300,,,
Crucial Technology BL16G32C16U4WL.M16FE 16GB,19299,,,
Mushkin MLX4C400JNNM16G 16GB,19295,,,
G Skill Intl F4-3200C16-16GTZSW 16GB,19287,,,
Corsair CMWX8GD3200C16W4 8GB,19287,,,
G Skill Intl F4-3200C16-32GTZN 32GB,19285,,,
Gold Key Technology Co Ltd NMGD416E82-3600D 16GB,19284,,,
Kingston KHX3466C16D4/16GX 16GB,19284,,,
Asgard VMA45UG-MEC1U22T3 8GB,19283,,,
Corsair CMR16GX4M2C3600C18 8GB,19283,,,
Corsair CMR32GX4M2C3000C16 16GB,19282,,,
Corsair CMW16GX4M2Z3600C20 8GB,19278,,,
Mushkin 99[2/7/4]205[F/T] 8GB,19276,,,
Corsair CMT32GX4M4Z3200C16 8GB,19275,,,
Avant Technology J642GU44J2320NN 16GB,19275,,,
Shenzhen Mic Electronics Technology MG8A3200C21WE-SA 16GB,19268,,,
FDK Corporation FDK_8GB3000U_H3 Re 1 8GB,19267,,,
G Skill Intl F4-3200C15-16GTZSK 16GB,19266,,,
G Skill Intl F4-3600C17-8GVK 8GB,19260,,,
Essencore Limited KD4AGUA80-36A180X 16GB,19257,,,
Kingston CBD32D4S2S1MF-8 8GB,19256,,,
Corsair CMK64GX4M4K3733C17 16GB,19254,,,
Mushkin MR[ABC]4U346JLLM16G 16GB,19254,,,
Corsair CMD32GX4M4B3733C17 8GB,19247,,,
Apacer Technology GD2.1129WH.001 16GB,19246,,,
Kingston CBD32D4U2S1ME-8 8GB,19244,,,
Patriot Memory (PDP Systems) 3200 C16 Series 8GB,19235,,,
Corsair CM4X16GC3200C16K4 16GB,19231,,,
Corsair CMK16GX4M2K4400C19 8GB,19228,,,
Ramaxel Technology RMSA3340MB88HBF-3200 16GB,19226,,,
Corsair CMW16GX4M2K4266C19 8GB,19224,,,
Corsair CMK16GX4M2Z3200C16 8GB,19220,,,
Chun Well Technology Holding Limited D4U3236180B 32GB,19220,,,
Kingston KHX3466C19D4/16G 16GB,19217,,,
Essencore Limited KD48GU880-32A160X 8GB,19217,,,
Golden Empire SUPER FRAME 8GB,19216,,,
Acer BL.9BWWR.220 16GB,19215,,,
Silicon Power Computer & Communications SP008GXLZU360BSA 8GB,19215,,,
G Skill Intl F4-3200C14-16GTRG 16GB,19213,,,
Pioneer High Fidelity Taiwan Co.Ltd APS-M4AGU0N32J-4MB 16GB,19212,,,
Neo Forza NMUD480E82-3000D 8GB,19210,,,
Corsair CM4X16GC3000C15K4 16GB,19205,,,
Patriot Memory (PDP Systems) PSD416G320081 16GB,19201,,,
Samsung M471A1K43CB1-CWE 8GB,19200,,,
G Skill Intl F4-3866C18-4GVK 4GB,19199,,,
Jazer JAD3200U1816 16GB,19196,,,
Ramaxel Technology RMUA5200KE78HAF-3200 8GB,19195,,,
G Skill Intl F4-3600C19-8GSXK 8GB,19195,,,
G Skill Intl F4-3466C16-8GTZR 8GB,19194,,,
Cuso VCM4UX32C18AG-DJHXD 16GB,19192,,,
Kingston KF432S20IB/16 16GB,19190,,,
A-DATA Technology AO1P32NC8T1-BBVS 8GB,19187,,,
Golden Empire CL22-22-22 D4-3200 8GB,19185,,,
Century Micro Inc. CENTURY JAPAN MEMORY 8GB,19183,,,
"PNY Technologies, Inc. 16GU2X08QJLL52-12-K 16GB",19183,,,
Samsung M378A2G43BB3-CWE 16GB,19182,,,
Jazer JAD3200U1908 8GB,19180,,,
Apacer Technology D12.2324WH.006 8GB,19180,,,
Kingston KHX3466C19D4/8G 8GB,19177,,,
Crucial Technology CT16G4DFRA32A.C16FR 16GB,19177,,,
G Skill Intl F4-3600C19-16GSXWB 16GB,19170,,,
Kingston 9905678-138.A00G 8GB,19167,,,
Kingston ACR32D4U2S1ME-8 8GB,19163,,,
Avant Technology W641GU49J2320ND 8GB,19160,,,
Kingston 9905744-077.A00G 16GB,19160,,,
Wilk Elektronik S.A. ILX3200D464L16A/16G 16GB,19159,,,
G Skill Intl F4-2666C18-32GTZR 32GB,19158,,,
Crucial Technology CT16G4SFD832A.C8FD1 16GB,19156,,,
G Skill Intl F4-4000C19-8GTZSW 8GB,19155,,,
Essencore Limited IM48GU88N26-GIIHA 8GB,19151,,,
V-Color Technology Inc. TL48G32S8RRGB16 8GB,19151,,,
Crucial Technology BL8G32C16U4W.M8FE1 8GB,19150,,,
G Skill Intl F4-2800C15-8GTZB 8GB,19144,,,
Chun Well Technology Holding Limited MD4U3232160 32GB,19142,,,
Samsung M393A2K43EB3-CWE 16MB,19137,,,
Crucial Technology BL8G30C15U4R.8FE 8GB,19137,,,
Crucial Technology BLS8G4D26BFSB.16FBR2 8GB,19136,,,
G Skill Intl F4-3200C16-32GTRG 32GB,19136,,,
Chun Well Technology Holding Limited MD4U0836181B 8GB,19135,,,
G Skill Intl F4-3600C19-16GSXKB 16GB,19134,,,
Crucial Technology BL8G32C16U4B.M8FE1 8GB,19133,,,
PNY Technologies Inc 8GBF2X04JEEE36-12-K 8GB,19132,,,
G Skill Intl F4-3866C18-4GTZ 4GB,19132,,,
Corsair CM4X8GD3200C16K2E 8GB,19121,,,
A-DATA Technology DDR4 2800 8GB,19120,,,
Gloway International Co. Ltd. SRE4U3200E16082C 8GB,19115,,,
GIGA - BYTE Technology Co Ltd GP-ARS16G32 8GB,19115,,,
Chun Well Technology Holding Limited CL18-22-22 D4-3600 16GB,19114,,,
Crucial Technology BL16G32C16U4BL.M16FE 16GB,19114,,,
Hangzhou Hikstorage Technology Co HKED4081CAA2F2HB1 8GB,19112,,,
Corsair CMW64GX4M2A2666C16 32GB,19108,,,
G Skill Intl F4-3200C15-8GTZSK 8GB,19108,,,
V-GEN D4S8GL32A8 8GB,19105,,,
Nanya Technology NT8GA64D88AX3S-HR 8GB,19103,,,
Corsair CMK16GX4M4B3733C17 4GB,19102,,,
Hewlett-Packard 8MG07AA# 8GB,19101,,,
Corsair CMK32GX4M4Z3200C16 8GB,19098,,,
Kingston 9905700-095.A00G 16GB,19095,,,
Corsair CMD32GX4M2C3466C16W 16GB,19094,,,
Kingston 9965757-004.A00G 64GB,19094,,,
Colorful Technology Ltd CVPC16G3200D4R8 16GB,19091,,,
Crucial Technology CT16G4SFD832A.C16FN 16GB,19089,,,
ASint Technology ASSD4320016G8b223 16GB,19088,,,
Thermaltake Technology Co Ltd R009D408GX2-4600C19A 8GB,19079,,,
Kingston KHX3200C16D4/32GX 32GB,19076,,,
G Skill Intl F4-4000C18-8GTZSW 8GB,19076,,,
Corsair CMW8GX4M1Z3200C16 8GB,19075,,,
G Skill Intl F4-3200C15-16GTZKW 16GB,19072,,,
Wilk Elektronik S.A. IR2400D464L17/16G 16GB,19072,,,
